,Student,ID,SIS User ID,SIS Login ID,Section,Homework 0 (5327434),Homework 1 (5327437),Homework 2 (5431255),Activity 1 (5327424),Beginning of Quarter Survey (5327426),Activity 2 (5327420),Activity 3 (5327416),Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Activities/Quizzes Current Score,Activities/Quizzes Unposted Current Score,Activities/Quizzes Final Score,Activities/Quizzes Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
0,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,
1,    Points Possible,,,,,0,100,100,10,3,10,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
2,"Felten, Anna",1234563.0,796C2D5CA1DB557115E7629EBD314831,feltan,AMATH 301 B,,93,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
3,"Ellis, Andrew",9922782.0,796C2D5CA1DB557115E7629EBD314831,drewb,AMATH 301 B,,76,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
4,"Tubert, Nik",1836593.0,796C2D5CA1DB557115E7629EBD314831,skimnik,AMATH 301 B,,95,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
5,"Serrano, Caroline",1695437.0,796C2D5CA1DB557115E7629EBD314831,caroser,AMATH 301 B,,69,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
6,"Hamada, Evan",9087642.0,796C2D5CA1DB557115E7629EBD314831,mint,AMATH 301 B,,100,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
7,"Calhoun, Megan",2737462.0,796C2D5CA1DB557115E7629EBD314831,meg23,AMATH 301 B,,95,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
8,"Brown, Ashlyn",2839403.0,796C2D5CA1DB557115E7629EBD314831,hash56,AMATH 301 B,,75,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
9,"Chaffee, Sami",8392817.0,796C2D5CA1DB557115E7629EBD314831,samsam9,AMATH 301 B,,90,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
10,"Lam, Jessica",2893030.0,796C2D5CA1DB557115E7629EBD314831,jesslam,AMATH 301 B,,100,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
11,"Fernandes, Christopher",3836290.0,796C2D5CA1DB557115E7629EBD314831,chrizzz,AMATH 301 B,,46,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
12,"Cortina, Justin",1937653.0,796C2D5CA1DB557115E7629EBD314831,justy,AMATH 301 B,,99,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
13,"Berecz, Taylor",1038361.0,796C2D5CA1DB557115E7629EBD314831,tayb,AMATH 301 B,,45,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
14,"Peters, Kacie",2827363.0,796C2D5CA1DB557115E7629EBD314831,kc6767,AMATH 301 B,,67,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
15,"Mitchel, Cortney",1928279.0,796C2D5CA1DB557115E7629EBD314831,cort90,AMATH 301 B,,92,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
16,"Llanes, Farrah",7654567.0,796C2D5CA1DB557115E7629EBD314831,farway,AMATH 301 B,,65,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
17,"Porges, Joe",8909876.0,796C2D5CA1DB557115E7629EBD314831,jjporg,AMATH 301 B,,51,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
18,"Vehrs, Sarah",6567654.0,796C2D5CA1DB557115E7629EBD314831,sver4,AMATH 301 B,,95,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
19,"Tsutusi, Hannah",3987654.0,796C2D5CA1DB557115E7629EBD314831,tsutsu8,AMATH 301 B,,100,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
20,"Benitez, Thomas",1829304.0,796C2D5CA1DB557115E7629EBD314831,tommi,AMATH 301 B,,73,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
21,"Andrews, Ashley",6162636.0,796C2D5CA1DB557115E7629EBD314831,aaa5,AMATH 301 B,,95,,10,3,10,10,,,0,0,100,100,69.7,100,,,,,,,,,,,,,100,100,13.94,20
