StudentNo,UWNetID,LastName,FirstName,Email
1829304,tommi,Benitez,Thomas,tommi@uw.edu
1038361,tayb,Berecz,Taylor,tayb@uw.edu
6567654,sver4,Vehrs,Sarah,sver4@uw.edu
8392817,samsam9,Chaffee,Sami,samsam9@uw.edu
1836593,skimnik,Tubert,Nik,skimnik@uw.edu
2737462,meg23,Calhoun,Megan,meg23@uw.edu
2827363,kc6767,Peters,Kace,kc6767@uw.edu
1937653,justy,Cortina,Justin,justy@uw.edu
8909876,jjporg,Porges,Joe,jjporg@uw.edu
2893030,jesslam,Lam,Jessica,jesslam@uw.edu
3987654,tsutsu8,Tsutsui,Hannah,tsutsu8@uw.edu
7654567,farway,Llanes,Farrah,farway@uw.edu
9087642,mint,Hamada,Evan,mint@uw.edu
1928279,cort90,Mitchel,Cortney,cort90@uw.edu
3836290,chrizzz,Fernandes,Chritopher,chrizzz@uw.edu
1695437,caroser,Serrano,Caroline,caroser@uw.edu
2839403,hash56,Brown,Ashlyn,hash56@uw.edu
6162636,aaa5,Andrews,Ashley,aaa5@uw.edu
1234563,feltan,Felten,Anna,feltan@uw.edu
9922782,drewb,Ellis,Andrew,drewb@uw.edu
